userId,movieId,rating,timestamp_date
1,640146,2.5,2009-12-14 11:52:24
1,502356,3,2009-12-14 11:52:59
1,594767,3,2009-12-14 11:53:02
1,76600,2,2009-12-14 11:53:05
1,948713,4,2009-12-14 11:53:25
1,677179,2,2009-12-14 11:52:31
1,713704,2,2009-12-14 11:53:07
1,638974,2,2009-12-14 11:52:28
1,603692,3.5,2009-12-14 11:52:05
1,804150,2,2009-12-14 11:52:11
1,700391,2.5,2009-12-14 11:52:15
1,758323,1,2009-12-14 11:53:23
1,849869,4,2009-12-14 11:53:11
1,736790,4,2009-12-14 11:52:19
1,505642,3,2009-12-14 11:53:14
1,816904,2,2009-12-14 11:53:18
1,980078,2,2009-12-14 11:51:48
1,536554,2.5,2009-12-14 11:51:53
1,9607,1,2009-12-14 11:53:20
1,436270,3,2009-12-14 11:51:57
2,869626,4,1996-06-21 20:11:33
2,646389,5,1996-06-21 20:14:41
2,868759,5,1996-06-21 20:13:24
2,631842,4,1996-06-21 20:12:32
2,676710,4,1996-06-21 20:13:06
2,758009,3,1996-06-21 20:20:31
2,850871,3,1996-06-21 20:15:49
2,1073413,4,1996-06-21 20:12:12
2,876792,3,1996-06-21 20:20:16
2,985939,5,1996-06-21 20:09:55
2,19995,4,1996-06-21 20:10:41
2,1087040,3,1996-06-21 20:11:33
2,1077280,3,1996-06-21 20:10:41
2,109428,3,1996-06-21 20:15:10
2,646385,3,1996-06-21 20:11:51
2,736526,3,1996-06-21 20:14:24
2,676547,3,1996-06-21 20:11:51
2,776835,5,1996-06-21 20:17:20
2,843794,1,1996-06-21 20:15:49
2,361743,3,1996-06-21 20:12:32
2,1071806,3,1996-06-21 20:14:24
2,634649,3,1996-06-21 20:18:16
2,916224,4,1996-06-21 20:11:51
2,966220,4,1996-06-21 20:14:41
2,616037,5,1996-06-21 20:14:57
2,728754,5,1996-06-21 20:13:06
2,324552,3,1996-06-21 20:16:07
2,1041513,4,1996-06-21 20:16:19
2,668482,3,1996-06-21 20:11:32
2,820232,4,1996-06-21 20:09:55
2,675353,3,1996-06-21 20:12:12
2,507086,4,1996-06-21 20:20:44
2,1058949,2,1996-06-21 20:12:31
2,635302,1,1996-06-21 20:18:38
2,842942,3,1996-06-21 20:11:32
2,672,4,1996-06-21 20:10:41
2,813726,4,1996-06-21 20:14:57
2,947938,3,1996-06-21 20:13:48
2,493529,3,1996-06-21 20:15:49
2,671,3,1996-06-21 20:13:24
2,453395,3,1996-06-21 20:13:39
2,1058732,2,1996-06-21 20:18:52
2,49046,3,1996-06-21 20:19:28
2,808,3,1996-06-21 20:21:34
2,988233,3,1996-06-21 20:15:10
2,411,3,1996-06-21 20:22:45
2,724495,2,1996-06-21 20:24:06
2,674,3,1996-06-21 20:12:12
