"DIRECTOR_ID","NAME","PROFILE_PATH"
78530,"Fausto Brizzi","/qaYdnajX6bAoG9wfXFk4pQQhTlg.jpg"
78545,"Conor McMahon","/x5aB3YawvsajNlI6YGl7UlsEUqm.jpg"
1592610,"Ron de Moraes","/eFvBJ6630F3KiUa2JpRD7vTL8P9.jpg"
79684,"Sarah Watt","/vbSSawIwWdaQUt4ozWU2OvoWPbT.jpg"
79737,"Yoshiyuki Tomino","/3I8gsOJ30GCd5g71NYbYXZeEybg.jpg"
51866,"Rick Famuyiwa","/zvpQOPiD5RLfjKBJyNgHYNocy7X.jpg"
144798,"Simon Cellan Jones","/qehGPEQGGGmSYMHPIiQI2zvDrGM.jpg"
81078,"György Pálfi","/iZUOKp6V7u6G2NRTEOf3Rw0kMwU.jpg"
78747,"Mani Ratnam","/anbOMr8XeoshB2wrqxaHl9PqWDH.jpg"
94346,"Jamil Dehlavi","/916ekWZ7V8az6TZwIAjUEpl08Bh.jpg"
84906,"Steve De Jarnatt","/gLg6YvT67i9LvfFsICYC9dESwS4.jpg"
8823,"Raoul Walsh","/ufAXdt0c5Ztn2MrzfccxydYZIwX.jpg"
72480,"Antti-Jussi Annila","/rikcZLFaUQtNC8LMQ7m3cvquNH9.jpg"
543592,"Annette K. Olesen","/wz0RWPQCXMQuUHuunsjdb6nQJzB.jpg"
88040,"Jason Bourque","/1UzCjDDdeBsyW5UauFr6mZXNr3Y.jpg"
126774,"Per Fly","/9JNKo8kz8b1pTIud0Dwsye0r8U.jpg"
99747,"Jesper W. Nielsen","/saKeKGUFwyMXxbtugjIpFHi67Ll.jpg"
110601,"Pernille Fischer Christensen","/uGIXnmOTpmoj9HyHIGZfilyREjo.jpg"
12099,"Raman Hui","/r0Jqj3YlO9CuhWExI6rUuQpQJ3x.jpg"
12011,"William Castle","/wk8uz93tESmaMO6EB08cGizgBkg.jpg"
78880,"Rodrigo Plá","/v65A1k0uZC8LTQMLYkjM1RyqiEj.jpg"
226608,"Antoinette Beumer","/taW6QdHgwuilrXzJQ35D3Dg2Hkz.jpg"
223001,"Frédéric Balekdjian","/k9v04hz3nyV7jQQvTbOo24L64ea.jpg"
78932,"John Campea","/7eXwpYEmGyc7gpoqOP9KFcX59fO.jpg"
146438,"Bertrand Bonello","/ptB0kK4vfJPKw4fTP9AmvS1zwzO.jpg"
140434,"Vladimír Michálek","/sHgqyx9ovHznXeOkorOqsq6JPK8.jpg"
78939,"Karl Zéro","/oG0hdhp5jarvzOI7IUQuiV16PJp.jpg"
1004585,"Daisy d'Errata","/xYBHSNIN76Dz2LmhfUymCVptL7v.jpg"
101899,"Walter Grauman","/tdS5WpRnaxu4Qzv8yO2eb8qrpqC.jpg"
141227,"Natasha Arthy","/yAXzLSSKJjkrgVzEu8w9fPrerLT.jpg"
108987,"William A. Seiter","/7qWVCzHn2qx9pqaxcN8M0KykIaC.jpg"
78992,"Bill Eagles","/broOQIHQULhzII6X9QlqHFHKzc6.jpg"
78996,"Antonio Hernández","/cwMi3bF0JXZmM3Hlg4hIP6QvtLb.jpg"
82351,"Henrik Ruben Genz","/qofei2nY2xSVr9OIa1IvTinS3Gr.jpg"
79002,"Nacho G. Velilla","/5TiuTtwxS6BlWYlnN6YIO5zNZIo.jpg"
85670,"Anurag Kashyap","/fAb4GhSdmrYPnI5Pfmp4N9itUCa.jpg"
88800,"Mohit Suri","/iDAUmTKFKD0XVDyqFNtAyMNzx4W.jpg"
109191,"Hiroyuki Imaishi","/w9KUjp3eWsZwtDRrA4sOvyne5IS.jpg"
99499,"Phillip Guzman","/giW3vMe74YnxDmn4vsM32FxAtGH.jpg"
80577,"Tomek Baginski","/9XbvdXNL2sAojid4f5jv3VwW6FZ.jpg"
86250,"Frank Henenlotter","/qcpy6TjGJhJAp1qAyuGnU5AOBvt.jpg"
35266,"Kevin Altieri","/AbHLwR8fhvaS3vu6tGHut2FUFqR.jpg"
81397,"Rasmus A. Sivertsen","/upEmCp0U5o2s8vmBpVDKnitRRd8.jpg"
76367,"Kjell Sundvall","/A3SCeLKrH3ojtQ2cMUfNtUUlPqJ.jpg"
121516,"Nils Malmros","/yrD4DdpMhhlWMkvNwHrJ0GjH5fg.jpg"
585953,"Carsten Myllerup","/8Ud7nT4nEdrV8jNlgt0iBDJfR1c.jpg"
130135,"Avi Lewis","/eYZ36UKGp6niWiOvJ5GSuIA6RN.jpg"
45785,"Jessica Nilsson","/xvfHT604399nxX0HJqiPMY6iHns.jpg"
112588,"Kirby Dick","/p9Ar5C5RvZexaqNGqUggQPW4LUp.jpg"
79193,"Jack Ersgard","/oL3RLYAnDFNX5EhHtjdav865XJ3.jpg"
79279,"Paco Cabezas","/aQm4jU9Hgd6Sv3AJqQGzKNN7a52.jpg"
67896,"Doug McHenry","/nndmgxb7OJc5U49kDzRIAjnLfGw.jpg"
119978,"Milind Ukey","/mTTxnjxGTSAl3loYLJdJ50VZs47.jpg"
150641,"Gary Halvorson","/9KwJweL5GN0y5rvsvBhBRlVtmb0.jpg"
87379,"Rob VanAlkemade","/hVrOlm2AENQxY1oHAx7EdNnwxtD.jpg"
79453,"Gen Sekiguchi","/eT1sRCiwbstfcRdIcXQuTpfwYa6.jpg"
51918,"Harmony Korine","/nifHx1FlQdgYw57QaUfHSjBKmPy.jpg"
79545,"Lorenzo Mattotti","/4AXcy4ufX4AyHwj6miXHrORSaBX.jpg"
190103,"Alain Desrochers","/vWsvsRyUzIu7kPFXr7Rni8jXG8B.jpg"
79683,"Andrew Neel","/uQd5Z1yvfaNDSfSmTBhuX8bYEm5.jpg"
113876,"Mark Hartley","/xMNNzUQji2LJbQMIFJm6MLXVkIG.jpg"
88039,"Steven R. Monroe","/tLx7oj4gD4hE5FqE5lULZ8lEjDR.jpg"
559968,"Leslie Small","/5p6HBp8ZJrkb5PqDbOO08mzXJzn.jpg"
566987,"Vanessa Parise","/m40XTEkOP4JRKBG9erXP2XElPnI.jpg"
146219,"Picha","/znDytqOSeOmgOGEnJrHvNdjO4Jn.jpg"
80107,"Akihiko Shiota","/3Dc9pZtk09p5L4jNIzDEgLkrKSo.jpg"
95760,"Erik Skjoldbjærg","/1SpHCdw11Xg3nSiJWy29DZMWgSx.jpg"
80161,"Iain B. MacDonald","/cxCwbSjnomHNGgvW2EP6YSr4hXv.jpg"
127382,"Matt Youngberg","/3axzFCSsNpSTugQ6919rhGFiVkg.jpg"
80170,"Tadeusz Chmielewski","/uBjTd6bVeg9xuzkaSFbsyo8Q6F4.jpg"
129433,"Eric Rochant","/1dnBjbsp2WfzqmFmWF1U5MurMQG.jpg"
183,"Koji Morimoto","/8e7n72mS0hGLnHuMs7cv7EzvIXT.jpg"
60473,"Stan Lathan","/zRS52BzHBNjDfiTvZYotV1tTzvB.jpg"
35270,"Eric Radomski","/z1vRonppwah0DVC4bvb711ukP4a.jpg"
140518,"Vincent Garenq","/yG6IWku1duWmChmnbMdbA0dy1Gq.jpg"
95550,"Avi Nesher","/673gKNJbApCgAtUC26coVUsMpmg.jpg"
117370,"Bae Jong","/cwkzXrKwYXver4GBC5ltv9n7jJ4.jpg"
100134,"Götz Spielmann","/wOWJoeMAuHWG7vuqjkQlabrGjH6.jpg"
48084,"Harald Sicheritz","/bcrGHgMyQMfzKCuGPLIRO3NZhYk.jpg"
152111,"Douglas Mackinnon","/kR6osUTjwCJeGnEKYpdZfIDjHpU.jpg"
67966,"David Kendall","/T8CQlPuHBRW0l3l5lmDBWaOaZP.jpg"
78055,"Jerry Rothwell","/pMOZzwOaUdkiDLVoiZeA0Zrxv91.jpg"
70900,"Janet Chun","/eAUHCdG0vvjPeaWBeE3DM2b6QnW.jpg"
87695,"Carlo Carlei","/AnGWfGNQDq3guQX6fGZWCWDHmop.jpg"
77853,"Hamish Hamilton","/bbXt8aBdI4dxOXuGtSvk9oYwhZX.jpg"
47724,"Tom Shankland","/f0kaA0ybPllVB4Qxaqfclj3tjOC.jpg"
119419,"Deon Taylor","/aDM9cNpidIfePO1KFHJjkLi14NO.jpg"
12009,"Anthony Harvey","/6J1er4JMI4byhHGE7LRVsmDYrvM.jpg"
77873,"Shunichi Nagasaki","/b5Jr8mpWCM9h0kX3eYHCjqwxTr8.jpg"
88230,"Robby D.","/6zSiVF2gdMcfysJDW5R9Ac7AaZO.jpg"
80702,"Kenji Misumi","/Aw8ji1DkR1WgP5uv0TpL3vfuvmI.jpg"
49214,"William Dieterle","/9xJgBwpVs7O55AH1jPt5DLioWUF.jpg"
77921,"Hideaki Anno","/AfV9h1RW6uALpx751APdUoX8ONc.jpg"
1680227,"Richard Greenberg","/rRNUgp0V9RvXNCuYvmFKaHuh1FE.jpg"
87673,"Beth McCarthy-Miller","/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg"
67717,"Michel Hazanavicius","/5Adwey0AqG16rM7jrDMjUaew9W3.jpg"
127497,"Pearry Reginald Teo","/dy01ek648iRhUjM4FycRVVuZATD.jpg"
77965,"Morten Tyldum","/uVoK0gK1SwGVgPvlgKwct0Hl8pG.jpg"
78268,"Ryuichi Hiroki","/pxg2ZKQwNvMGCpfGPim15lzKP6w.jpg"
79272,"Ella Lemhagen","/wxmwus9msXribCpsPVK3d4PDsLA.jpg"
105566,"Arild Østin Ommundsen","/2BTjx5FXjS1SZyXffr5kA2luVOg.jpg"
109857,"Thor Freudenthal","/9nYi50GXME1QRhl38vqIaMxrptC.jpg"
24935,"Eric Civanyan","/eNY1NltQ5BF7LBFNxU4HdzIbnp0.jpg"
253414,"Slobodan Šijan","/aMDYg579SQ0zUuodzbK8VgNc2AB.jpg"
77994,"Ty Evans","/o0n2uXMtNXX6OI0BtRsyx03Qb4K.jpg"
78001,"Juraj Jakubisko","/5o0HAdGMYSCpJDpSSbaenOyKRkQ.jpg"
78013,"Dallas Jenkins","/wT8IWvvUtGgBAy1vkSObQgfA4e8.jpg"
82234,"Bruce Gowers","/J8YELcPzwWDBuuBzPj3rqRZ857.jpg"
78108,"Isaac Florentine","/4PJrg3l105M2GMNazhu2DXZ1Wce.jpg"
124796,"Gary Jones","/72iuNrz0KiZ0CWxKTjDm0QY7SPa.jpg"
78053,"Edwin L. Marin","/gAWdPTPb0ZdHMW9pXrxh8tmYGYJ.jpg"
