"MOVIE_ID","ACTOR_ID"
659959,1859007
659959,1871464
659959,2496534
659959,5077
659959,26100
659959,2412
659959,1371649
659959,1062338
659959,71377
659959,1517883
659959,2697090
659959,236133
659959,2496530
641662,556356
641662,10959
641662,9560
641662,235416
641662,96316
641662,27125
641662,124912
641662,181247
641662,135993
641662,198662
641662,1774398
641662,77354
641662,1794595
641662,937792
641662,2609570
641662,2525699
641662,1646449
586347,64856
586347,10843
586347,74748
586347,2259660
586347,81136
586347,2260393
586347,1356461
586347,1389927
586347,58762
586347,1455786
348678,32684
348678,99522
348678,986805
348678,1153813
348678,1513854
348678,1513855
348678,512266
348678,1513856
348678,928008
348678,96935
348678,575899
348678,1613311
348678,1024895
348678,1513859
348678,1613322
348678,1309115
348678,1153819
348678,1351733
348678,1309119
291276,87722
291276,114
291276,3392
291276,6949
291276,3051
291276,17353
291276,52685
291276,25730
291276,208470
291276,1360152
291276,1338019
291276,94137
291276,1812318
291276,122280
291276,1812314
291276,1447292
291276,1243789
291276,1394090
291276,1905701
291276,1071126
291276,137334
291276,1253827
291276,1613785
291276,1801084
291276,1499636
291276,993074
291276,1759586
291276,2067352
291276,1781390
291276,1504806
291276,1562103
291276,578690
630566,1887455
630566,1152083
630566,1597855
630566,9206
630566,16857
630566,1488961
630566,1524215
630566,227571
630566,43244
630566,122474
630566,181247
630566,2523788
630566,90465
630566,209200
630566,1218131
630566,134182
630566,2199068
630566,2561688
575769,1246181
575769,1659287
575769,74896
575769,1079495
693113,19537
693113,62
693113,46593
693113,526
693113,966753
693113,2149560
693113,1042684
693113,93620
693113,1443625
693113,2852349
693113,1276759
693113,2145585
693113,1388479
693113,2113207
693113,2192533
693113,1033087
693113,1075049
693113,87118
693113,2455797
693113,71686
693113,1836497
693113,1504029
693113,2089925
35056,4495
35056,56323
35056,13240
35056,40036
35056,22125
35056,4238
35056,886
35056,85825
35056,65920
35056,41091
35056,103
35056,17051
35056,18973
35056,109708
35056,576511
35056,1248380
35056,208519
35056,81364
35056,90633
35056,1375338
35056,1429456
35056,61182
35056,19498
35056,71552
35056,82092
35056,1559595
35056,203801
35056,1241155
35056,98818
35056,1999513
35056,1602555
35056,1999525
35056,1999534
35056,1999544
35056,1999551
35056,1218277
35056,1999552
35056,937000
35056,1454108
35056,1745253
35056,221942
35056,962603
35056,185805
35056,1999572
35056,1999580
35056,11477
35056,1366809
35056,1999582
35056,42288
35056,1999583
35056,1553379
35056,1606358
384345,1241939
384345,90567
384345,9715
384345,932986
213681,58225
213681,887
213681,41091
213681,1240487
213681,168452
213681,58224
213681,139309
213681,77089
213681,1696148
213681,1696149
213681,11516
213681,1406450
213681,1696150
213681,1696152
213681,51456
213681,196843
213681,84792
213681,12054
213681,1771527
213681,1771535
213681,1115731
213681,1771554
213681,1771556
213681,111451
213681,1771562
213681,237345
213681,1771567
213681,90341
213681,1358965
213681,1680188
213681,1771588
213681,1771589
213681,1771592
213681,18916
213681,1771599
213681,1771603
213681,1539843
213681,1654872
564147,1293681
564147,2182257
564147,1333834
564147,1298760
564147,122166
564147,2193015
564147,1315577
564147,2262416
564147,1293574
564147,85721
564147,2262423
564147,2735982
87436,87879
