"MOVIE_ID","MEMBER_ID","RATING","REGDATE"
214756,4,4,00/02/08
985103,4,4,00/02/07
879538,4,5,00/02/06
57212,4,5,00/02/07
860623,4,5,00/02/07
372058,4,3,00/02/07
791155,4,5,00/02/07
99861,4,4,00/02/06
3933,4,3,00/02/07
585245,4,5,00/02/07
35,4,5,00/02/07
284052,4,4,00/02/07
1024530,4,4,00/02/06
560057,4,4,00/02/07
11,4,5,00/02/07
640146,1,2.5,09/12/14
502356,1,3,09/12/14
594767,1,3,09/12/14
76600,1,2,09/12/14
948713,1,4,09/12/14
677179,1,2,09/12/14
713704,1,2,09/12/14
638974,1,2,09/12/14
603692,1,3.5,09/12/14
804150,1,2,09/12/14
700391,1,2.5,09/12/14
758323,1,1,09/12/14
849869,1,4,09/12/14
736790,1,4,09/12/14
505642,1,3,09/12/14
816904,1,2,09/12/14
980078,1,2,09/12/14
536554,1,2.5,09/12/14
9607,1,1,09/12/14
436270,1,3,09/12/14
869626,2,4,96/06/21
646389,2,5,96/06/21
868759,2,5,96/06/21
631842,2,4,96/06/21
676710,2,4,96/06/21
758009,2,3,96/06/21
850871,2,3,96/06/21
1073413,2,4,96/06/21
876792,2,3,96/06/21
985939,2,5,96/06/21
19995,2,4,96/06/21
1087040,2,3,96/06/21
1077280,2,3,96/06/21
109428,2,3,96/06/21
646385,2,3,96/06/21
736526,2,3,96/06/21
676547,2,3,96/06/21
776835,2,5,96/06/21
843794,2,1,96/06/21
361743,2,3,96/06/21
1071806,2,3,96/06/21
634649,2,3,96/06/21
916224,2,4,96/06/21
966220,2,4,96/06/21
616037,2,5,96/06/21
728754,2,5,96/06/21
324552,2,3,96/06/21
1041513,2,4,96/06/21
668482,2,3,96/06/21
820232,2,4,96/06/21
675353,2,3,96/06/21
507086,2,4,96/06/21
1058949,2,2,96/06/21
635302,2,1,96/06/21
842942,2,3,96/06/21
672,2,4,96/06/21
813726,2,4,96/06/21
947938,2,3,96/06/21
493529,2,3,96/06/21
671,2,3,96/06/21
453395,2,3,96/06/21
1058732,2,2,96/06/21
49046,2,3,96/06/21
808,2,3,96/06/21
988233,2,3,96/06/21
411,2,3,96/06/21
724495,2,2,96/06/21
674,2,3,96/06/21
846433,2,4,96/06/21
458156,2,3,96/06/21
829410,2,4,96/06/21
673,2,2,96/06/21
772515,2,4,96/06/21
785084,2,3,96/06/21
899112,2,3,96/06/21
663712,2,4,96/06/21
1068141,2,4,96/06/21
414906,2,4,96/06/21
653851,2,4,96/06/21
585511,2,4,96/06/21
555604,2,4,96/06/21
882598,2,3,96/06/21
568124,2,3,96/06/21
508947,2,5,96/06/21
1045944,2,3,96/06/21
299536,2,5,96/06/21
873126,2,3,96/06/21
767,2,3,96/06/21
1607,2,3,96/06/21
399566,2,5,96/06/21
575322,2,5,96/06/21
937278,2,5,96/06/21
438148,2,3,96/06/21
615,2,3,96/06/21
438631,2,4,96/06/21
14836,2,4,96/06/21
829560,3,3,11/02/28
274855,3,4,11/03/01
585083,3,3.5,11/02/28
718930,3,3,11/02/28
22,3,4.5,11/02/28
836225,3,5,11/02/28
118412,3,2.5,11/02/28
830784,3,5,11/02/28
267805,3,2.5,11/03/01
740952,3,3,11/02/28
760741,3,3,11/03/01
438695,3,3,11/03/01
113082,3,3,11/03/01
597,3,2,11/03/01
931954,3,3.5,11/03/01
245891,3,4,11/02/28
585,3,3,11/02/28
782936,3,5,11/03/01
717728,3,3,11/03/01
792775,3,4,11/02/28
385128,3,3,11/02/28
324786,3,4,11/02/28
4935,3,3.5,11/03/01
851644,3,4.5,11/03/01
338958,3,4,11/02/28
675,3,4,11/03/01
384018,3,4,11/02/28
877269,3,3,11/02/28
524434,3,3,11/02/28
955991,3,3.5,11/02/28
744276,3,3,11/03/01
919570,3,3.5,11/03/01
760204,3,4,11/02/28
285,3,4,11/03/01
996727,3,5,11/02/28
580489,3,3,11/02/28
809,3,4,11/02/28
960704,3,5,11/02/28
852046,3,3,11/03/01
924482,3,3.5,11/02/28
10144,3,3,11/03/01
290271,3,2.5,11/03/01
335787,3,3,11/03/01
877703,3,3.5,11/02/28
829557,3,3,11/03/01
661374,3,3.5,11/02/28
539681,3,3.5,11/03/01
739405,3,4.5,11/02/28
862,3,4.5,11/02/28
610150,3,3,11/03/01
752623,3,4,11/03/01
157336,4,4,00/02/06
764,4,5,00/02/07
960258,4,5,00/02/06
7445,4,5,00/02/07
156022,4,4,00/02/06
338953,4,3,00/02/06
345887,4,3,00/02/07
337339,4,5,00/02/06
106646,4,4,00/02/06
2062,4,5,00/02/07
943221,4,3,00/02/06
916605,4,5,00/02/06
58,4,5,00/02/07
642885,4,5,00/02/07
1024546,4,5,00/02/08
1001835,4,4,00/02/07
1037858,4,3,00/02/06
129,4,3,00/02/07
337404,4,3,00/02/07
818397,4,4,00/02/06
726759,4,1,00/02/07
576784,4,4,00/02/07
683328,4,4,00/02/07
425,4,4,00/02/06
216015,4,5,00/02/06
774825,4,5,00/02/06
480530,4,5,00/02/08
639933,4,5,00/02/07
460465,4,3,00/02/06
862965,4,5,00/02/08
1040603,4,5,00/02/08
810,4,4,00/02/08
8587,4,5,00/02/08
799379,4,5,00/02/06
238,4,5,00/02/07
760161,4,4,00/02/07
629176,4,5,00/02/07
18785,4,5,00/02/08
24428,4,4,00/02/07
848058,4,4,00/02/07
979924,4,5,00/02/08
293660,4,5,00/02/08
579974,4,5,00/02/07
615777,4,5,00/02/07
373571,4,5,00/02/08
406759,4,5,00/02/08
337167,4,5,00/02/07
566525,4,5,00/02/07
198663,4,5,00/02/06
497,4,5,00/02/07
8966,4,5,00/02/06
751741,4,5,00/02/07
756999,4,5,00/02/07
880841,4,5,00/02/07
363088,4,5,00/02/07
542196,4,5,00/02/06
10674,4,5,00/02/06
14160,4,5,00/02/06
294272,4,5,00/02/07
459151,4,5,00/02/07
120,4,5,00/02/06
168259,4,5,00/02/06
38757,4,5,00/02/07
102899,4,5,00/02/06
11224,4,5,00/02/06
10198,4,5,00/02/06
1865,4,5,00/02/07
121,4,5,00/02/06
718789,4,5,00/02/07
118,4,5,00/02/07
12,4,5,00/02/07
166428,4,5,00/02/06
312221,4,5,00/02/07
423108,4,4,00/02/06
810693,4,5,00/02/07
354912,4,5,00/02/06
863,4,5,00/02/07
41446,4,5,00/02/08
744,4,4,00/02/06
626735,4,5,00/02/06
760104,4,5,00/02/07
278,4,4,00/02/07
177572,4,4,00/02/06
296096,4,4,00/02/07
4247,4,5,00/02/08
12445,4,5,00/02/07
1027159,4,4,00/02/06
637649,4,4,00/02/06
779782,4,3,00/02/07
381284,4,4,00/02/07
958196,4,3,00/02/07
788752,4,3,00/02/06
