"MOVIE_ID","DIRECTOR_ID"
592867,43652
592867,1311591
404378,1724
354287,114334
82682,91268
295151,1140583
360605,38692
49517,74396
503619,1061773
393624,13079
290637,15868
333385,79279
54540,88077
804251,1748697
659959,4387
641662,56206
586347,92436
348678,556711
291276,10781
575769,584193
213681,53925
564147,2182258
87436,18184
87436,64108
87436,76171
87436,82566
87436,81251
87436,96323
87436,101542
87436,98631
87436,107941
87436,118303
87436,118369
87436,129937
87436,129938
87436,133403
87436,137467
87436,141673
87436,235430
87436,935179
64807,13426
55465,222470
549053,116805
157354,1056121
446791,578
331313,54733
504982,1477789
184098,20400
292040,58005
287649,94003
497814,11266
828613,67361
152603,4429
285783,24
220820,137618
345235,20640
283378,33433
763873,88077
38368,69759
59118,51445
115084,98132
299824,232685
218329,85203
455043,64901
473072,190090
428836,142687
339967,118303
410117,1661862
581032,25598
615643,931952
661231,18844
241239,556172
463821,16847
263341,18899
129139,465763
62764,56512
127372,16785
170522,1397397
741011,2770898
376570,551463
448095,932088
49494,17350
505948,1980616
921655,102634
741434,20310
452507,1323509
278236,1184816
430231,583479
376865,9888
532444,2073528
833971,2194927
316873,237072
592279,583731
489931,859754
334521,137467
239563,1141683
87093,510
250574,1155547
302156,81476
532710,2381662
336004,90812
264644,83281
270487,1223
270487,1224
319075,102109
89492,41039
549435,1026383
59436,1243
274109,82724
393519,1392433
97375,101915
802443,1645309
83666,5655
637157,84074
28211,56205
707886,55898
355506,144232
853088,2294
853088,1364881
372754,1549377
382614,930707
438857,76812
467909,54507
297160,54025
297160,99082
297160,1061517
788977,119293
587130,57581
475946,56342
506763,26760
631060,72205
631060,72206
664332,42804
433627,52576
748853,137467
217923,26760
547565,141962
446101,96172
251519,204553
241843,1276823
241843,1276825
840526,1180430
152747,556172
259074,126882
446354,488
228968,76325
84427,146438
760336,72842
263109,1244465
72972,23683
72972,92317
467952,168330
50725,71280
152792,56205
460885,1044250
159117,26850
159117,98631
159117,141673
159117,142013
159117,235430
513692,70109
507441,1371823
296917,88784
296917,230642
145220,26205
63492,57199
535389,1139243
152742,65314
390497,1135240
785527,1808114
541305,16860
49953,76100
51052,208113
46738,137427
86703,97901
349176,589915
382598,1067317
437543,93991
259611,192830
355547,1138632
666624,36804
46261,135601
602291,2312381
487558,5281
852438,67717
246741,55934
82696,5065
212153,1196398
850018,82226
310593,56194
549514,119419
57431,64141
620249,2377386
95610,9158
460790,70100
77883,22676
331446,85822
296100,56661
241254,1024823
512412,1024823
549559,1323992
55292,70109
33602,8843
534780,85665
396330,1637776
76649,4014
463257,1546658
463257,2396600
121674,10723
41505,80923
41505,80924
606870,8246
244761,56205
70578,5572
363126,93286
326284,5917
750253,70221
414191,1412121
429733,84335
68727,2034
832277,585622
318917,928146
619592,41887
373226,587968
639557,607
371645,55934
480681,1099354
265189,56370
244267,45459
491584,96657
381325,1161014
44865,12453
82505,86482
746817,1169157
436391,86325
58232,78562
19154,82579
19166,88039
19169,34740
19170,14520
19171,73256
19173,81159
19184,59
19200,1243
19204,29433
19214,96972
19222,57898
19223,65314
19236,55119
19255,39
19265,1243
19267,57727
19273,88077
19277,26767
19287,84981
19307,40940
19323,34920
19326,58316
19333,18598
19337,17282
19345,19450
19348,54025
18816,57832
18817,17268
18818,25467
18823,18865
18835,109876
18837,56342
18837,76408
18839,16137
18840,54441
18857,58036
18858,36772
18860,26760
18860,67259
18860,83698
18860,123199
18872,25645
18874,16137
18877,65994
18877,66718
18882,57090
18887,5834
18890,21879
18892,239418
18893,22669
18897,19359
18899,25236
18917,83784
18935,83961
18943,83961
18972,51875
18978,86051
18988,12009
18990,29662
18998,83996
19002,83996
19017,19032
19026,87429
19049,84034
19051,35318
19058,21440
19065,15672
19067,578
19086,51572
19095,30956
19096,64114
19101,11218
19114,24657
19116,4755
19118,23677
19119,14227
19120,4415
19124,13015
19137,12329
19140,10790
19143,12964
19354,549834
19366,87742
19368,31963
19371,62043
19378,83413
19380,21370
19382,5342
19383,39012
19384,63709
19400,38007
19403,19244
19413,31894
19414,69392
19426,4415
19429,2226
19457,20561
19458,1213560
19486,63429
19490,33064
19492,1776
19504,84745
19508,87130
19528,70109
19542,68424
19545,18598
19552,107730
19562,34613
19576,84839
19596,18308
19610,13861
19611,70109
11305,4429
11306,10781
11308,32765
11309,42175
11310,66548
11313,33433
11314,68993
11315,17282
11316,3556
11317,34611
11318,55476
11321,20646
11322,638
11323,1884
11324,1032
11326,32327
11327,9168
11328,21183
11329,5501
11330,21183
11331,14520
11335,9789
11336,224
11337,1243
11338,4610
11342,58712
11344,69081
11347,32327
11348,54525
11349,18669
11351,56349
11352,488
11356,69300
11357,56998
11358,34453
11360,11434
11360,74565
11361,32813
11362,8300
11364,5342
11365,58080
11366,69290
11367,49450
11368,1223
11368,1224
11370,37710
11372,14520
11374,6159
11377,57898
11380,15521
11381,13426
11382,1243
11383,5690
11384,12840
11385,11435
11386,17016
11393,8246
11395,58072
11396,32012
11397,57604
11398,25735
11400,30715
11401,69237
11401,69238
11411,64508
11412,16938
11415,58712
11416,8965
11417,21440
11418,57434
11421,69371
11422,30422
11423,21684
11424,69392
11426,4065
11431,7395
11431,7396
11439,3556
11442,33341
11443,11447
11443,11448
11447,69488
11448,1243
11449,13859
11451,7312
11452,68573
11454,638
11456,23213
11458,69696
11459,64151
11460,5140
11462,2636
11463,9915
11465,15206
11468,40256
11469,40243
11471,11401
11472,10965
11474,1723
11475,16767
11477,57865
11478,18878
11480,35208
11481,3556
11482,3556
11484,13563
11485,1243
11489,45138
11489,56209
11490,45138
11490,56209
11494,69593
11495,67753
11497,40345
11499,6159
11503,5140
